post_date,base_trading_day,title,sentiment,sentiment_score,sentiment_source,url,prev_close,base_close,base_day_intraday_%,T+1_%,T+5_%,T+10_%,T+20_%,max_gain_20d_%,max_draw_20d_%
2026-03-27,2026-03-27,"人間四月芳菲盡 山寺桃花始盛開做頭明顯或❤️打底完成❤️意會",bullish,1,input,https://www.cmoney.tw/forum/article/177745454,3065,3040,1,,,,,,
2026-03-25,2026-03-25,"熱騰騰出爐的 ❤️ 世芯 最新（基本面）分享",bullish,1,input,https://www.cmoney.tw/forum/article/177695109,3110,3150,-2.48,-2.7,,,,2.7,-5.71
2026-03-22,2026-03-23,"大摩從3/6 世芯法說後 突然變啞巴然後前天❤️終於出來了❤️ 各位世芯的好朋友",bullish,1,input,https://www.cmoney.tw/forum/article/177615443,3375,3190,-3.33,-2.51,,,,3.76,-6.9
2026-03-20,2026-03-20,"土地公伯伯生日 ➕龍抬頭➕春分我們的世芯 ❤️終於 龍抬頭❤️ 各位世芯的好朋友",bullish,1,input,https://www.cmoney.tw/forum/article/177577280,3220,3375,4.17,-5.48,-9.93,,,-1.19,-12
2026-03-19,2026-03-19,"故技重施的（他股出貨者）之報告我都懶得看",bearish,-1,input,https://www.cmoney.tw/forum/article/177555180,3300,3220,0.63,4.81,-4.81,,,9.16,-7.76
2026-03-17,2026-03-17,"一介女流要打空頭禿鷹實在辛苦大隻雞 通常慢啼飆股起漲前",bullish,1,input,https://www.cmoney.tw/forum/article/177490530,3125,3190,0.95,3.45,-2.51,,,10.19,-6.9
2026-03-13,2026-03-13,"有些基本面很好的股票卻還沒漲不是時間未到",neutral,0,input,https://www.cmoney.tw/forum/article/177418012,3315,3190,-2.15,-2.04,5.8,-4.7,,10.19,-6.9
2026-03-11,2026-03-11,"世芯的新朋友 應該會嚇到而老朋友 吃瓜看戲的 是最大贏家❤️ 各位世芯的好朋友們",bullish,1,input,https://www.cmoney.tw/forum/article/177352057,3060,3365,8.72,-1.49,-1.93,-6.39,,4.46,-11.74
2026-03-10,2026-03-10,"短線交易者 慎入長期價值型投資者觀察3000是鐵板區否",bullish,1,input,https://www.cmoney.tw/forum/article/177327290,2995,3060,-0.49,9.97,4.25,1.63,,14.87,-2.94
2026-03-08,2026-03-09,"針對世芯3/6法說中揭示：2026 營收與 毛利之變化",bullish,1,input,https://www.cmoney.tw/forum/article/177280363,3310,2995,-0.66,2.17,4.34,6.51,,17.36,-0.83
2026-03-06,2026-03-06,"從我的視角看世芯法說重點並從博通跟邁威爾亮眼財報我看到了",bullish,1,input,https://www.cmoney.tw/forum/article/177260334,3270,3310,1.85,-9.52,-3.63,1.96,,6.19,-10.27
2026-03-04,2026-03-04,"利用大盤崩跌造成的恐慌氛圍",bearish,-1,input,https://www.cmoney.tw/forum/article/177202666,3355,3120,-4.88,4.81,7.85,5.77,,12.66,-4.81
2026-03-01,2026-03-02,"坐板凳看戲❤️ 手上沒票的 應該比較焦慮靜觀其變 各位世芯的好朋友們",bullish,1,input,https://www.cmoney.tw/forum/article/177121270,3490,3440,1.18,-2.47,-12.94,-9.16,,2.76,-13.66
2026-02-28,2026-03-02,"228連假實在驚濤駭浪完全印證赤馬紅羊年的動盪不安要小心 各位世芯的好朋友們",bullish,1,input,https://www.cmoney.tw/forum/article/177110983,3490,3440,1.18,-2.47,-12.94,-9.16,,2.76,-13.66
2026-02-27,2026-03-02,"默默耕耘 低調努力的世芯終於迎來（遲來的春天）恭喜大家❤️ 各位世芯的好朋友們",bullish,1,input,https://www.cmoney.tw/forum/article/177103208,3490,3440,1.18,-2.47,-12.94,-9.16,,2.76,-13.66
2026-02-26,2026-02-26,"新年快樂 馬年發大財越洗的股票 洗完越會噴只是怕您已不在 各位世芯的好朋友們",bullish,1,input,https://www.cmoney.tw/forum/article/177081340,3480,3490,0.29,-1.43,-5.16,-8.6,-12.89,1.29,-14.9
2026-02-11,2026-02-11,"刻意打壓只為進萬般拉抬只為出股市就是個 ❤️人吃人的市場❤️ 各位世芯的好朋友們",bullish,1,input,https://www.cmoney.tw/forum/article/176872240,3300,3380,2.74,-1.48,1.78,-11.39,-5.62,4.59,-11.83
2026-02-10,2026-02-10,"2026被理想汽車寄予厚望最新的旗艦智能SUV2/6已官宣 各位世芯的好朋友們",neutral,0,input,https://www.cmoney.tw/forum/article/176855834,3285,3300,-0.45,2.42,5.76,0.3,2.27,7.12,-9.7
2026-02-06,2026-02-06,"邏輯有毛病的（不專業報告）隨便看看就好司馬昭之心路人皆知 各位世芯的好朋友們",neutral,0,input,https://www.cmoney.tw/forum/article/176770102,3245,3115,-3.86,5.46,10.11,0.16,5.94,13.48,-4.33
2026-02-04,2026-02-04,"爾虞我詐的融資與借券放空",neutral,0,input,https://www.cmoney.tw/forum/article/176702198,3320,3385,1.96,-4.14,-0.15,1.62,-7.68,4.43,-11.96
2026-02-02,2026-02-02,"世芯 （最新基本面）再次更新：續上篇（前天週六1/31）❤️ 各位世芯的好朋友們",neutral,0,input,https://www.cmoney.tw/forum/article/176647313,3125,3140,3.12,5.73,4.62,10.83,5.57,12.58,-5.1
2026-01-31,2026-02-02,"世芯的（基本面）最新更新敬告：非（中長期價值投資者）慎入 各位世芯的好朋友們",bullish,1,input,https://www.cmoney.tw/forum/article/176616916,3125,3140,3.12,5.73,4.62,10.83,5.57,12.58,-5.1
2026-01-21,2026-01-21,"覆巢之下 豈有完卵乎 很抱歉",bullish,1,input,https://www.cmoney.tw/forum/article/176344108,3395,3240,-3.86,1.08,4.01,4.48,6.17,13.12,-6.17
2026-01-19,2026-01-19,"我能講的早預告 看技術線型做世芯者 被洗下車或停損 剛好而已 各位世芯的好朋友們",neutral,0,input,https://www.cmoney.tw/forum/article/176281040,3340,3435,2.69,-1.16,2.47,-8.59,1.31,6.7,-11.5
2026-01-15,2026-01-15,"從今日台積電法說",bullish,1,input,https://www.cmoney.tw/forum/article/176205712,3460,3320,-4.05,0.6,-1.36,-1.51,0.3,10.39,-8.43
2026-01-14,2026-01-14,"純看技術線型的想賺（快錢）的",bearish,-1,input,https://www.cmoney.tw/forum/article/176174140,3675,3460,-6.11,-4.05,-6.36,-2.6,-2.31,5.92,-12.14
2026-01-12,2026-01-12,"一堆股票（包含台積電）股價都漲到2027預估之EPS去了",bullish,1,input,https://www.cmoney.tw/forum/article/176113141,3570,3630,0.55,1.24,-5.37,-3.03,-9.5,2.89,-16.25
2026-01-07,2026-01-07,"連漲7天的世芯",bullish,1,input,https://www.cmoney.tw/forum/article/176003080,3735,3680,-2.39,-2.17,-5.98,-11.96,-8.02,1.63,-17.39
2026-01-02,2026-01-02,"一年復始 萬象更新盤面強弱分明世芯是否如我預告一去不回頭 各位世芯的好朋友們",bearish,-1,input,https://www.cmoney.tw/forum/article/175881271,3510,3635,0.97,0.41,-1.79,-8.12,-14.03,5.23,-14.03
2025-12-30,2025-12-30,"12/30 世芯於富邦證券之法說會 ❤️重點分享❤️ 各位世芯的好朋友們",neutral,0,input,https://www.cmoney.tw/forum/article/175834088,3390,3485,3.41,0.72,5.6,-0.72,-3.3,9.76,-7.03
2025-12-29,2025-12-29,"路遙知馬力 日久見人心期盼社會安定 世界和平否極泰來 各位世芯的好朋友們",bullish,1,input,https://www.cmoney.tw/forum/article/175808373,3215,3390,4.79,2.8,10.18,8.41,1.18,12.83,-4.42
2025-12-20,2025-12-22,"當明天或意外 不知何者先到時",neutral,0,input,https://www.cmoney.tw/forum/article/175656033,3215,3225,-1.68,-0.16,8.06,14.11,0.47,18.6,-2.02
2025-12-17,2025-12-17,"雖然往上壓力重重 但世芯努力往上突破關卡因妖股漲跌沒在看線型 各位世芯的好朋友們",bullish,1,input,https://www.cmoney.tw/forum/article/175585720,3015,3200,4.92,-0.94,-0.63,13.59,4.38,19.53,-2.66
2025-12-16,2025-12-16,"世芯未來基本面無虞",bullish,1,input,https://www.cmoney.tw/forum/article/175566515,3170,3015,-4.44,6.14,6.8,16.42,10.12,26.87,-0.33
2025-12-10,2025-12-10,"11月營收年減61.36趴真恐怖",bullish,1,input,https://www.cmoney.tw/forum/article/175444894,3260,3370,2.43,-2.23,-5.04,-5.64,5.93,13.5,-10.98
