發文日期,情緒,發文當天股價,T+1,T+2,T+3,T+4,T+5,T+10,T+20
2026-03-27,看多,3040,,,,,,,
2026-03-25,看多,3150,-2.7%,-3.49%,,,,,
2026-03-22,看多,3190,-2.51%,-1.25%,-3.92%,-4.7%,,,
2026-03-20,看多,3375,-5.48%,-7.85%,-6.67%,-9.19%,-9.93%,,
2026-03-19,看空,3220,+4.81%,-0.93%,-3.42%,-2.17%,-4.81%,,
2026-03-17,看多,3190,+3.45%,+0.94%,+5.8%,+0%,-2.51%,,
2026-03-13,中性,3190,-2.04%,+0%,+3.45%,+0.94%,+5.8%,-4.7%,
2026-03-11,看多,3365,-1.49%,-5.2%,-7.13%,-5.2%,-1.93%,-6.39%,
2026-03-10,看多,3060,+9.97%,+8.33%,+4.25%,+2.12%,+4.25%,+1.63%,
2026-03-08,看多,2995,+2.17%,+12.35%,+10.68%,+6.51%,+4.34%,+6.51%,
2026-03-06,看多,3310,-9.52%,-7.55%,+1.66%,+0.15%,-3.63%,+1.96%,
2026-03-04,看空,3120,+4.81%,+6.09%,-4.01%,-1.92%,+7.85%,+5.77%,
2026-03-01,看多,3440,-2.47%,-9.3%,-4.94%,-3.78%,-12.94%,-9.16%,
2026-02-28,看多,3440,-2.47%,-9.3%,-4.94%,-3.78%,-12.94%,-9.16%,
2026-02-27,看多,3440,-2.47%,-9.3%,-4.94%,-3.78%,-12.94%,-9.16%,
2026-02-26,看多,3490,-1.43%,-3.87%,-10.6%,-6.3%,-5.16%,-8.6%,-12.89%
2026-02-11,看多,3380,-1.48%,+1.48%,+2.96%,+3.25%,+1.78%,-11.39%,-5.62%
2026-02-10,中性,3300,+2.42%,+0.91%,+3.94%,+5.45%,+5.76%,+0.3%,+2.27%
2026-02-06,中性,3115,+5.46%,+5.94%,+8.51%,+6.9%,+10.11%,+0.16%,+5.94%
2026-02-04,中性,3385,-4.14%,-7.98%,-2.95%,-2.51%,-0.15%,+1.62%,-7.68%
2026-02-02,中性,3140,+5.73%,+7.8%,+3.34%,-0.8%,+4.62%,+10.83%,+5.57%
2026-01-31,看多,3140,+5.73%,+7.8%,+3.34%,-0.8%,+4.62%,+10.83%,+5.57%
2026-01-21,看多,3240,+1.08%,+5.86%,+8.64%,+5.86%,+4.01%,+4.48%,+6.17%
2026-01-19,中性,3435,-1.16%,-5.68%,-4.66%,-0.15%,+2.47%,-8.59%,+1.31%
2026-01-15,看多,3320,+0.6%,+3.46%,+2.26%,-2.41%,-1.36%,-1.51%,+0.3%
2026-01-14,看空,3460,-4.05%,-3.47%,-0.72%,-1.88%,-6.36%,-2.6%,-2.31%
2026-01-12,看多,3630,+1.24%,-4.68%,-8.54%,-7.99%,-5.37%,-3.03%,-9.5%
2026-01-07,看多,3680,-2.17%,-2.99%,-1.36%,-0.14%,-5.98%,-11.96%,-8.02%
2026-01-02,看空,3635,+0.41%,+2.75%,+1.24%,-0.96%,-1.79%,-8.12%,-14.03%
2025-12-30,中性,3485,+0.72%,+4.3%,+4.73%,+7.17%,+5.6%,-0.72%,-3.3%
2025-12-29,看多,3390,+2.8%,+3.54%,+7.23%,+7.67%,+10.18%,+8.41%,+1.18%
2025-12-20,中性,3225,-0.16%,-1.4%,-0.31%,+5.12%,+8.06%,+14.11%,+0.47%
2025-12-17,看多,3200,-0.94%,+0.47%,+0.78%,+0.63%,-0.63%,+13.59%,+4.38%
2025-12-16,看多,3015,+6.14%,+5.14%,+6.63%,+6.97%,+6.8%,+16.42%,+10.12%
2025-12-10,看多,3370,-2.23%,-4.45%,-5.93%,-10.53%,-5.04%,-5.64%,+5.93%
2025-12-09,中性,3260,+3.37%,+1.07%,-1.23%,-2.76%,-7.52%,-1.23%,+10.43%
2025-12-03,中性,3190,-0.63%,-1.1%,-2.19%,+2.19%,+5.64%,+0.31%,+13.95%
2025-12-01,中性,3290,+3.95%,-3.04%,-3.65%,-4.1%,-5.17%,-3.65%,+5.93%
2025-12-01,看多,3290,+3.95%,-3.04%,-3.65%,-4.1%,-5.17%,-3.65%,+5.93%
2025-11-28,看多,3305,-0.45%,+3.48%,-3.48%,-4.08%,-4.54%,-2.57%,+2.57%
2025-11-26,看多,3110,+5.63%,+6.27%,+5.79%,+9.97%,+2.57%,+8.36%,+2.25%
2025-11-20,看多,3075,-2.76%,-3.41%,-4.07%,+1.14%,+6.83%,+3.09%,+3.09%
2025-11-20,看多,3075,-2.76%,-3.41%,-4.07%,+1.14%,+6.83%,+3.09%,+3.09%
2025-11-18,看多,3250,+2.15%,-5.38%,-8%,-8.62%,-9.23%,+5.23%,-7.23%
2025-11-14,看多,3510,+2.85%,-7.41%,-5.41%,-12.39%,-14.81%,-5.84%,-8.26%
2025-11-12,看多,3520,+0.14%,-0.28%,+2.56%,-7.67%,-5.68%,-11.65%,-4.26%
2025-11-10,看多,3715,-2.15%,-5.25%,-5.11%,-5.52%,-2.83%,-20.05%,-16.02%
2025-11-07,看多,3565,+4.21%,+1.96%,-1.26%,-1.12%,-1.54%,-16.13%,-11.5%
2025-11-06,看多,3670,-2.86%,+1.23%,-0.95%,-4.09%,-3.95%,-16.21%,-13.62%
2025-11-05,中性,3340,+9.88%,+6.74%,+11.23%,+8.83%,+5.39%,-0.6%,-4.49%
2025-11-04,中性,3445,-3.05%,+6.53%,+3.48%,+7.84%,+5.52%,-5.66%,-0.73%
2025-10-30,看多,3355,+4.17%,+2.83%,+2.68%,-0.45%,+9.39%,+5.07%,-2.09%
2025-10-29,看多,3250,+3.23%,+7.54%,+6.15%,+6%,+2.77%,+8.31%,-4.31%
2025-10-23,看多,3150,-2.7%,-2.7%,+3.17%,+6.51%,+10.95%,+13.17%,-5.08%
2025-10-21,看多,3355,-4.02%,-6.11%,-8.64%,-8.64%,-3.13%,-0.45%,-1.04%
2025-10-20,看多,3235,+3.71%,-0.46%,-2.63%,-5.26%,-5.26%,+6.49%,+0.46%
2025-10-17,看多,3085,+4.86%,+8.75%,+4.38%,+2.11%,-0.65%,+11.83%,+17.02%
2025-10-16,看多,3095,-0.32%,+4.52%,+8.4%,+4.04%,+1.78%,+12.92%,+13.41%
2025-10-16,看多,3095,-0.32%,+4.52%,+8.4%,+4.04%,+1.78%,+12.92%,+13.41%
2025-10-15,看多,3080,+0.49%,+0.16%,+5.03%,+8.93%,+4.55%,+8.93%,+14.45%
2025-10-14,中性,3075,+0.16%,+0.65%,+0.33%,+5.2%,+9.11%,+5.69%,+14.47%
2025-10-13,看多,3370,-8.75%,-8.61%,-8.16%,-8.46%,-4.01%,-9.05%,+7.86%
2025-10-09,中性,3515,-4.13%,-12.52%,-12.38%,-11.95%,-12.23%,-12.8%,+5.69%
2025-10-07,看空,3460,-0.43%,+1.59%,-2.6%,-11.13%,-10.98%,-6.94%,+6.07%
2025-10-03,中性,3310,+4.53%,+4.08%,+6.19%,+1.81%,-7.1%,+1.36%,+0.91%
2025-10-01,看多,3395,-3.24%,-2.5%,+1.91%,+1.47%,+3.53%,-9.13%,+1.62%
2025-09-30,看多,3465,-2.02%,-5.19%,-4.47%,-0.14%,-0.58%,-10.68%,+0.87%
2025-09-26,看空,3275,+5.8%,+3.66%,+0.31%,+1.07%,+5.65%,-5.95%,+2.44%
2025-09-24,看多,3410,-1.17%,-3.96%,+1.61%,-0.44%,-3.67%,-1.17%,-10.12%
2025-09-24,看多,3410,-1.17%,-3.96%,+1.61%,-0.44%,-3.67%,-1.17%,-10.12%
2025-09-23,中性,3700,-7.84%,-8.92%,-11.49%,-6.35%,-8.24%,-5%,-17.16%
2025-09-22,看多,3760,-1.6%,-9.31%,-10.37%,-12.9%,-7.85%,-8.38%,-16.22%
2025-09-18,看多,3720,+0.81%,+1.08%,-0.54%,-8.33%,-9.41%,-11.02%,-9.81%
2025-09-17,看多,3760,-1.06%,-0.27%,+0%,-1.6%,-9.31%,-12.63%,-13.96%
2025-09-16,看空,3680,+2.17%,+1.09%,+1.9%,+2.17%,+0.54%,-7.74%,-16.17%
2025-09-12,看空,3790,-1.72%,-2.9%,-0.79%,-1.85%,-1.06%,-13.59%,-18.73%
2025-09-11,看多,3925,-3.44%,-5.1%,-6.24%,-4.2%,-5.22%,-14.14%,-21.66%
2025-09-10,看多,3940,-0.38%,-3.81%,-5.46%,-6.6%,-4.57%,-13.45%,-14.47%
2025-09-08,看多,3975,-1.51%,-0.88%,-1.26%,-4.65%,-6.29%,-5.41%,-13.33%
2025-09-08,看多,3975,-1.51%,-0.88%,-1.26%,-4.65%,-6.29%,-5.41%,-13.33%
2025-09-04,中性,3850,+3.12%,+3.25%,+1.69%,+2.34%,+1.95%,-3.38%,-14.03%
2025-09-03,中性,3980,-3.27%,-0.25%,-0.13%,-1.63%,-1.01%,-5.53%,-17.46%
2025-09-02,看空,3845,+3.51%,+0.13%,+3.25%,+3.38%,+1.82%,-4.29%,-11.7%
2025-09-01,看空,3915,-1.79%,+1.66%,-1.66%,+1.4%,+1.53%,-4.85%,-11.49%
2025-08-31,中性,3915,-1.79%,+1.66%,-1.66%,+1.4%,+1.53%,-4.85%,-11.49%
2025-08-29,看多,4055,-3.45%,-5.18%,-1.85%,-5.06%,-2.1%,-6.54%,-19.24%
2025-08-29,看多,4055,-3.45%,-5.18%,-1.85%,-5.06%,-2.1%,-6.54%,-19.24%
2025-08-27,看多,4080,-1.96%,-0.61%,-4.04%,-5.76%,-2.45%,-3.43%,-16.42%
2025-08-21,中性,3785,-2.51%,+2.91%,+5.15%,+7.79%,+5.68%,+1.72%,-1.72%
2025-08-13,中性,4120,+3.16%,+4.49%,+2.67%,-2.06%,-11.17%,-0.97%,-4.37%
2025-08-11,中性,3910,+4.22%,+5.37%,+8.7%,+10.1%,+8.18%,-0.38%,+1.66%
2025-08-06,看空,3710,+1.48%,+3.5%,+5.39%,+9.84%,+11.05%,-1.35%,+7.28%
2025-07-31,中性,3885,+0.26%,-3.35%,-3.47%,-4.5%,-3.09%,+9.4%,+2.96%
2025-07-24,看多,3975,-2.26%,-2.39%,-4.03%,-5.66%,-2.26%,-5.28%,-4.78%
2025-07-22,中性,3720,+2.82%,+6.85%,+4.44%,+4.3%,+2.55%,+0.81%,+8.47%
2025-07-16,看多,3600,+4.31%,+9.17%,+5%,+3.33%,+6.25%,+4.17%,+14.44%
2025-07-09,中性,3365,+2.82%,+1.93%,-1.63%,+0.15%,+6.98%,+13.67%,+10.25%
2025-07-06,看多,3220,-0.16%,+4.5%,+7.45%,+6.52%,+2.8%,+17.39%,+16.61%
2025-07-04,看多,3190,+0.94%,+0.78%,+5.49%,+8.46%,+7.52%,+23.2%,+22.1%
2025-04-11,看多,2125,+4.94%,+11.06%,+2.12%,+4.24%,+3.76%,+1.65%,+19.06%
2025-04-11,看多,2125,+4.94%,+11.06%,+2.12%,+4.24%,+3.76%,+1.65%,+19.06%
2025-04-10,中性,2135,-0.47%,+4.45%,+10.54%,+1.64%,+3.75%,-1.17%,+7.73%
2025-04-08,看空,2160,-9.95%,-1.16%,-1.62%,+3.24%,+9.26%,-7.64%,+3.24%
2025-04-08,中性,2160,-9.95%,-1.16%,-1.62%,+3.24%,+9.26%,-7.64%,+3.24%
2025-04-06,中性,2395,-9.81%,-18.79%,-10.86%,-11.27%,-6.89%,-12.11%,-5.01%
2025-04-06,中性,2395,-9.81%,-18.79%,-10.86%,-11.27%,-6.89%,-12.11%,-5.01%
2025-04-04,看空,2395,-9.81%,-18.79%,-10.86%,-11.27%,-6.89%,-12.11%,-5.01%
2025-04-03,看空,2395,-9.81%,-18.79%,-10.86%,-11.27%,-6.89%,-12.11%,-5.01%
2025-04-02,中性,2660,-9.96%,-18.8%,-26.88%,-19.74%,-20.11%,-17.11%,-14.47%
2025-04-01,看空,2665,-0.19%,-10.13%,-18.95%,-27.02%,-19.89%,-16.89%,-13.7%
2025-03-31,中性,2740,-2.74%,-2.92%,-12.59%,-21.17%,-29.01%,-20.8%,-22.45%
2025-03-31,看空,2740,-2.74%,-2.92%,-12.59%,-21.17%,-29.01%,-20.8%,-22.45%
2025-03-29,中性,2740,-2.74%,-2.92%,-12.59%,-21.17%,-29.01%,-20.8%,-22.45%
2025-03-28,中性,2950,-7.12%,-9.66%,-9.83%,-18.81%,-26.78%,-20%,-26.27%
2025-03-27,看空,2850,+3.51%,-3.86%,-6.49%,-6.67%,-15.96%,-21.75%,-23.16%
2025-03-26,中性,2890,-1.38%,+2.08%,-5.19%,-7.79%,-7.96%,-26.47%,-25.26%
2025-03-25,中性,2845,+1.58%,+0.18%,+3.69%,-3.69%,-6.33%,-24.96%,-25.83%
2025-03-25,中性,2845,+1.58%,+0.18%,+3.69%,-3.69%,-6.33%,-24.96%,-25.83%
2025-03-24,看多,2785,+2.15%,+3.77%,+2.33%,+5.92%,-1.62%,-30.16%,-25.13%
2025-03-20,看多,2830,+0%,-1.59%,+0.53%,+2.12%,+0.71%,-15.37%,-25.62%
2025-03-19,看空,2840,-0.35%,-0.35%,-1.94%,+0.18%,+1.76%,-6.34%,-22.36%
2025-03-18,看空,2885,-1.56%,-1.91%,-1.91%,-3.47%,-1.39%,-7.63%,-23.22%
2025-03-17,中性,2765,+4.34%,+2.71%,+2.35%,+2.35%,+0.72%,-0.9%,-21.52%
2025-03-17,中性,2765,+4.34%,+2.71%,+2.35%,+2.35%,+0.72%,-0.9%,-21.52%
2025-03-15,中性,2765,+4.34%,+2.71%,+2.35%,+2.35%,+0.72%,-0.9%,-21.52%
2025-03-13,看空,2845,-1.76%,-2.81%,+1.41%,-0.18%,-0.53%,+0.18%,-21.62%
2025-03-12,看空,2855,-0.35%,-2.1%,-3.15%,+1.05%,-0.53%,+1.23%,-25.57%
2025-03-11,看空,2920,-2.23%,-2.57%,-4.28%,-5.31%,-1.2%,-2.57%,-26.88%
2025-03-11,中性,2920,-2.23%,-2.57%,-4.28%,-5.31%,-1.2%,-2.57%,-26.88%
2025-03-10,看多,2855,+2.28%,+0%,-0.35%,-2.1%,-3.15%,-2.45%,-31.87%
2025-03-10,看空,2855,+2.28%,+0%,-0.35%,-2.1%,-3.15%,-2.45%,-31.87%
2025-03-07,中性,2945,-3.06%,-0.85%,-3.06%,-3.4%,-5.09%,-3.9%,-26.66%
2025-03-06,中性,2890,+1.9%,-1.21%,+1.04%,-1.21%,-1.56%,-2.08%,-17.13%
2025-03-06,中性,2890,+1.9%,-1.21%,+1.04%,-1.21%,-1.56%,-2.08%,-17.13%
2025-03-05,看多,3005,-3.83%,-2%,-4.99%,-2.83%,-4.99%,-5.49%,-11.48%
2025-03-05,看多,3005,-3.83%,-2%,-4.99%,-2.83%,-4.99%,-5.49%,-11.48%
2025-03-04,中性,3025,-0.66%,-4.46%,-2.64%,-5.62%,-3.47%,-4.63%,-11.9%
2025-03-03,看多,3075,-1.63%,-2.28%,-6.02%,-4.23%,-7.15%,-10.08%,-10.89%
2025-03-03,中性,3075,-1.63%,-2.28%,-6.02%,-4.23%,-7.15%,-10.08%,-10.89%
2025-02-27,中性,3285,-6.39%,-7.91%,-8.52%,-12.02%,-10.35%,-14.92%,-10.2%
2025-02-27,看空,3285,-6.39%,-7.91%,-8.52%,-12.02%,-10.35%,-14.92%,-10.2%
2025-02-26,中性,3360,-2.23%,-8.48%,-9.97%,-10.57%,-13.99%,-15.33%,-15.18%
2025-02-25,中性,3305,+1.66%,-0.61%,-6.96%,-8.47%,-9.08%,-13.62%,-12.56%
2025-02-25,中性,3305,+1.66%,-0.61%,-6.96%,-8.47%,-9.08%,-13.62%,-12.56%
2025-02-24,看多,3445,-4.06%,-2.47%,-4.64%,-10.74%,-12.19%,-15.24%,-17.42%
2025-02-23,中性,3445,-4.06%,-2.47%,-4.64%,-10.74%,-12.19%,-15.24%,-17.42%
2025-02-21,看多,3450,-0.14%,-4.2%,-2.61%,-4.78%,-10.87%,-17.25%,-19.28%
2025-02-19,中性,3380,-2.22%,+2.07%,+1.92%,-2.22%,-0.59%,-14.5%,-16.27%
2025-02-19,看多,3380,-2.22%,+2.07%,+1.92%,-2.22%,-0.59%,-14.5%,-16.27%
2025-02-19,中性,3380,-2.22%,+2.07%,+1.92%,-2.22%,-0.59%,-14.5%,-16.27%
2025-02-18,中性,3520,-3.98%,-6.11%,-1.99%,-2.13%,-6.11%,-14.63%,-19.32%
2025-02-18,中性,3520,-3.98%,-6.11%,-1.99%,-2.13%,-6.11%,-14.63%,-19.32%
2025-02-17,中性,3590,-1.95%,-5.85%,-7.94%,-3.9%,-4.04%,-15.74%,-19.64%
2025-02-16,中性,3590,-1.95%,-5.85%,-7.94%,-3.9%,-4.04%,-15.74%,-19.64%
2025-02-13,中性,3665,-1.5%,-2.05%,-3.96%,-7.78%,-9.82%,-10.37%,-23.74%
2025-02-12,中性,3580,+2.37%,+0.84%,+0.28%,-1.68%,-5.59%,-6.15%,-20.53%
2025-02-11,中性,3525,+1.56%,+3.97%,+2.41%,+1.84%,-0.14%,-6.24%,-19.01%
2025-02-10,看空,3480,+1.29%,+2.87%,+5.32%,+3.74%,+3.16%,-1.01%,-16.09%
2025-02-07,看多,3605,-3.47%,-2.22%,-0.69%,+1.66%,+0.14%,-4.3%,-20.8%
2025-02-06,看多,3350,+7.61%,+3.88%,+5.22%,+6.87%,+9.4%,-1.34%,-12.09%
2025-02-05,看多,3345,+0.15%,+7.77%,+4.04%,+5.38%,+7.03%,+1.05%,-13.6%
2025-02-04,看空,3245,+3.08%,+3.24%,+11.09%,+7.24%,+8.63%,+8.47%,-7.4%
2025-02-03,看空,2950,+10%,+13.39%,+13.56%,+22.2%,+17.97%,+21.69%,+2.54%
2025-01-20,中性,3165,-1.9%,-1.11%,-6.79%,+2.53%,+5.69%,+13.11%,+6.16%
2025-01-16,看多,2920,-0.51%,+8.39%,+6.34%,+7.19%,+1.03%,+19.18%,+17.98%
2025-01-16,看多,2920,-0.51%,+8.39%,+6.34%,+7.19%,+1.03%,+19.18%,+17.98%
2025-01-16,看多,2920,-0.51%,+8.39%,+6.34%,+7.19%,+1.03%,+19.18%,+17.98%
2025-01-15,中性,2920,+0%,-0.51%,+8.39%,+6.34%,+7.19%,+23.46%,+18.15%
2025-01-14,看空,2845,+2.64%,+2.64%,+2.11%,+11.25%,+9.14%,+17.75%,+16.17%
2025-01-13,看空,2795,+1.79%,+4.47%,+4.47%,+3.94%,+13.24%,+19.68%,+20.93%
2025-01-12,中性,2795,+1.79%,+4.47%,+4.47%,+3.94%,+13.24%,+19.68%,+20.93%
2025-01-11,看多,2795,+1.79%,+4.47%,+4.47%,+3.94%,+13.24%,+19.68%,+20.93%
2025-01-10,中性,2945,-5.09%,-3.4%,-0.85%,-0.85%,-1.36%,+10.19%,+19.52%
2025-01-10,中性,2945,-5.09%,-3.4%,-0.85%,-0.85%,-1.36%,+10.19%,+19.52%
2025-01-09,看空,3100,-5%,-9.84%,-8.23%,-5.81%,-5.81%,-4.84%,+15.81%
2025-01-08,中性,3075,+0.81%,-4.23%,-9.11%,-7.48%,-5.04%,+1.79%,+17.4%
2025-01-07,看空,3200,-3.91%,-3.13%,-7.97%,-12.66%,-11.09%,-2.97%,+14.53%
2025-01-06,中性,3095,+3.39%,-0.65%,+0.16%,-4.85%,-9.69%,+2.26%,+15.67%
2025-01-03,看空,2995,+3.34%,+6.84%,+2.67%,+3.51%,-1.67%,-3.01%,+17.7%
2025-01-02,中性,3100,-3.39%,-0.16%,+3.23%,-0.81%,+0%,-5.81%,+12.26%
2024-12-31,中性,3280,-5.49%,-8.69%,-5.64%,-2.44%,-6.25%,-10.98%,+9.91%
2024-12-30,看多,3215,+2.02%,-3.58%,-6.84%,-3.73%,-0.47%,-11.51%,+4.2%
2024-12-27,看多,3325,-3.31%,-1.35%,-6.77%,-9.92%,-6.92%,-15.94%,+0.6%
2024-12-26,中性,3200,+3.91%,+0.47%,+2.5%,-3.13%,-6.41%,-7.97%,+1.41%
2024-12-23,中性,3315,-2.26%,-2.87%,-3.47%,+0.3%,-3.02%,-3.47%,-6.33%
2024-12-21,中性,3315,-2.26%,-2.87%,-3.47%,+0.3%,-3.02%,-3.47%,-6.33%
2024-12-21,中性,3315,-2.26%,-2.87%,-3.47%,+0.3%,-3.02%,-3.47%,-6.33%
2024-12-20,看多,3235,+2.47%,+0.15%,-0.46%,-1.08%,+2.78%,-4.33%,-2.16%
2024-12-19,看多,3345,-3.29%,-0.9%,-3.14%,-3.74%,-4.33%,-10.46%,-13.15%
2024-12-18,看多,3340,+0.15%,-3.14%,-0.75%,-2.99%,-3.59%,-7.19%,-12.57%
2024-12-16,看多,3020,+9.93%,+10.6%,+10.76%,+7.12%,+9.77%,+6.46%,-5.79%
2024-12-13,中性,2900,+4.14%,+14.48%,+15.17%,+15.34%,+11.55%,+14.66%,-3.62%
2024-12-11,中性,2675,+2.62%,+8.41%,+12.9%,+24.11%,+24.86%,+20.37%,+15.89%
2024-12-10,中性,2645,+1.13%,+3.78%,+9.64%,+14.18%,+25.52%,+22.5%,+16.26%
2024-12-10,看空,2645,+1.13%,+3.78%,+9.64%,+14.18%,+25.52%,+22.5%,+16.26%
