date,foreign_net,trust_net,dealer_net,total_net
2026-01-28,-3030614,-1224172,-864,-4255650
2026-01-29,5945114,-4286706,-82000,1576408
2026-01-30,-5054743,-2435652,95001,-7395394
2026-02-02,4485809,-1206234,-105000,3174575
2026-02-03,5490299,810452,14000,6314751
2026-02-04,5326406,300000,77000,5703406
2026-02-05,3676788,501992,11000,4189780
2026-02-06,-4943282,533586,-149608,-4559304
2026-02-09,7316287,-482000,-35025,6799262
2026-02-10,5931492,-535535,109000,5504957
2026-02-11,8575886,-892000,458219,8142105
2026-02-23,12109529,-5526551,-3000,6579978
2026-02-24,-5545747,-1775554,217702,-7103599
2026-02-25,-1664227,-7264864,129071,-8800020
2026-02-26,5471151,-2082912,252000,3640239
2026-03-02,-3258963,-346197,-49000,-3654160
2026-03-03,1219966,48915,-71768,1197113
2026-03-04,-14866168,2294652,-849281,-13420797
2026-03-05,-9142572,4815908,-240261,-4566925
2026-03-06,-24553553,1753640,56293,-22743620
2026-03-09,-7615554,3328113,-1127760,-5415201
2026-03-10,-788833,228851,-6890,-566872
2026-03-11,2111988,214995,-11000,2315983
2026-03-12,-6731366,6264290,-171434,-638510
2026-03-13,-11897948,4514541,-286395,-7669802
2026-03-16,1325308,-1168926,-17630,138752
2026-03-17,6145857,-3292329,185000,3038528
2026-03-18,-2368066,-15879,270000,-2113945
2026-03-19,-17610366,7511000,-28421,-10127787
2026-03-20,-10907081,10710901,-67908,-264088
2026-03-23,-14238072,7762242,-351526,-6827356
2026-03-24,-3944657,2687000,19000,-1238657
2026-03-25,3750477,-752000,269000,3267477
2026-03-26,-1245502,1367077,14000,135575
2026-03-27,-6696481,1782000,1475,-4913006
